ic-vce0V6,ft-vce0V6,ic-vce1V2,ft-vce1V2
378.0E-6,233.7E9,374.1E-6,234.5E9
445.2E-6,245.8E9,438.4E-6,246.3E9
509.8E-6,255.3E9,500.0E-6,255.6E9
572.2E-6,263.0E9,559.0E-6,263.1E9
632.5E-6,269.3E9,615.9E-6,269.3E9
690.9E-6,274.5E9,670.7E-6,274.5E9
747.5E-6,279.0E9,723.6E-6,279.0E9
802.5E-6,282.9E9,774.9E-6,282.8E9
856.0E-6,286.3E9,824.6E-6,286.2E9
908.0E-6,289.2E9,872.8E-6,289.1E9
958.8E-6,291.8E9,919.7E-6,291.8E9
1.008E-3,294.1E9,965.4E-6,294.1E9
1.057E-3,296.2E9,1.010E-3,296.3E9
1.104E-3,298.0E9,1.053E-3,298.2E9
1.150E-3,299.7E9,1.096E-3,299.9E9
1.196E-3,301.2E9,1.137E-3,301.5E9
1.240E-3,302.6E9,1.177E-3,303.0E9
1.283E-3,303.8E9,1.217E-3,304.4E9
1.326E-3,304.9E9,1.256E-3,305.6E9
1.368E-3,305.9E9,1.294E-3,306.7E9
1.409E-3,306.8E9,1.331E-3,307.8E9
1.450E-3,307.7E9,1.368E-3,308.8E9
1.490E-3,308.5E9,1.404E-3,309.7E9
1.529E-3,309.2E9,1.439E-3,310.6E9
1.567E-3,309.8E9,1.474E-3,311.4E9
1.605E-3,310.4E9,1.508E-3,312.1E9
1.643E-3,311.0E9,1.541E-3,312.8E9
1.679E-3,311.5E9,1.574E-3,313.5E9
1.716E-3,312.0E9,1.607E-3,314.1E9
1.752E-3,312.4E9,1.638E-3,314.6E9
1.787E-3,312.8E9,1.670E-3,315.2E9
1.822E-3,313.1E9,1.701E-3,315.7E9
1.856E-3,313.5E9,1.732E-3,316.1E9
1.890E-3,313.8E9,1.762E-3,316.6E9
1.923E-3,314.0E9,1.791E-3,317.0E9
1.956E-3,314.3E9,1.821E-3,317.4E9
1.989E-3,314.5E9,1.850E-3,317.8E9
2.021E-3,314.7E9,1.878E-3,318.1E9
2.053E-3,314.9E9,1.906E-3,318.4E9
2.085E-3,315.0E9,1.934E-3,318.7E9
2.116E-3,315.1E9,1.962E-3,319.0E9
2.147E-3,315.3E9,1.989E-3,319.3E9
2.178E-3,315.3E9,2.016E-3,319.5E9
2.208E-3,315.4E9,2.042E-3,319.7E9
2.238E-3,315.5E9,2.069E-3,320.0E9
2.267E-3,315.5E9,2.095E-3,320.2E9
2.296E-3,315.5E9,2.120E-3,320.3E9
2.325E-3,315.5E9,2.146E-3,320.5E9
2.354E-3,315.5E9,2.171E-3,320.7E9
2.383E-3,315.5E9,2.196E-3,320.8E9
2.411E-3,315.5E9,2.220E-3,321.0E9
2.439E-3,315.4E9,2.245E-3,321.1E9
2.466E-3,315.3E9,2.269E-3,321.2E9
2.494E-3,315.2E9,2.293E-3,321.3E9
2.521E-3,315.1E9,2.316E-3,321.4E9
2.548E-3,315.0E9,2.340E-3,321.5E9
2.574E-3,314.9E9,2.363E-3,321.5E9
2.601E-3,314.7E9,2.386E-3,321.6E9
2.627E-3,314.5E9,2.409E-3,321.6E9
2.653E-3,314.3E9,2.431E-3,321.7E9
2.678E-3,314.1E9,2.454E-3,321.7E9
2.704E-3,313.9E9,2.476E-3,321.8E9
2.729E-3,313.6E9,2.498E-3,321.8E9
2.754E-3,313.3E9,2.520E-3,321.8E9
2.779E-3,313.0E9,2.541E-3,321.8E9
2.804E-3,312.6E9,2.563E-3,321.8E9
2.828E-3,312.2E9,2.584E-3,321.8E9
2.852E-3,311.8E9,2.605E-3,321.8E9
2.876E-3,311.4E9,2.626E-3,321.8E9
2.900E-3,310.9E9,2.647E-3,321.7E9
2.924E-3,310.3E9,2.668E-3,321.7E9
2.947E-3,309.7E9,2.688E-3,321.7E9
2.970E-3,309.1E9,2.708E-3,321.6E9
2.993E-3,308.3E9,2.728E-3,321.6E9
3.016E-3,307.6E9,2.748E-3,321.5E9
3.039E-3,306.7E9,2.768E-3,321.5E9
3.061E-3,305.8E9,2.788E-3,321.4E9
3.083E-3,304.8E9,2.807E-3,321.3E9
3.105E-3,303.7E9,2.827E-3,321.3E9
