vbe,ib
0.000,2.405E-12
5.000E-3,2.385E-12
10.00E-3,2.365E-12
15.00E-3,2.345E-12
20.00E-3,2.325E-12
25.00E-3,2.305E-12
30.00E-3,2.285E-12
35.00E-3,2.265E-12
40.00E-3,2.245E-12
45.00E-3,2.225E-12
50.00E-3,2.205E-12
55.00E-3,2.185E-12
60.00E-3,2.165E-12
65.00E-3,2.145E-12
70.00E-3,2.125E-12
75.00E-3,2.105E-12
80.00E-3,2.085E-12
85.00E-3,2.065E-12
90.00E-3,2.045E-12
95.00E-3,2.025E-12
100.0E-3,2.005E-12
105.0E-3,1.985E-12
110.0E-3,1.965E-12
115.0E-3,1.944E-12
120.0E-3,1.924E-12
125.0E-3,1.904E-12
130.0E-3,1.884E-12
135.0E-3,1.864E-12
140.0E-3,1.844E-12
145.0E-3,1.824E-12
150.0E-3,1.804E-12
155.0E-3,1.783E-12
160.0E-3,1.763E-12
165.0E-3,1.743E-12
170.0E-3,1.723E-12
175.0E-3,1.702E-12
180.0E-3,1.682E-12
185.0E-3,1.662E-12
190.0E-3,1.641E-12
195.0E-3,1.621E-12
200.0E-3,1.601E-12
205.0E-3,1.580E-12
210.0E-3,1.560E-12
215.0E-3,1.539E-12
220.0E-3,1.518E-12
225.0E-3,1.498E-12
230.0E-3,1.477E-12
235.0E-3,1.456E-12
240.0E-3,1.435E-12
245.0E-3,1.414E-12
250.0E-3,1.393E-12
255.0E-3,1.371E-12
260.0E-3,1.350E-12
265.0E-3,1.328E-12
270.0E-3,1.307E-12
275.0E-3,1.285E-12
280.0E-3,1.263E-12
285.0E-3,1.240E-12
290.0E-3,1.217E-12
295.0E-3,1.195E-12
300.0E-3,1.171E-12
305.0E-3,1.148E-12
310.0E-3,1.124E-12
315.0E-3,1.099E-12
320.0E-3,1.074E-12
325.0E-3,1.049E-12
330.0E-3,1.023E-12
335.0E-3,996.2E-15
340.0E-3,968.6E-15
345.0E-3,940.2E-15
350.0E-3,910.8E-15
355.0E-3,880.2E-15
360.0E-3,848.4E-15
365.0E-3,815.1E-15
370.0E-3,780.2E-15
375.0E-3,743.4E-15
380.0E-3,704.5E-15
385.0E-3,663.1E-15
390.0E-3,618.8E-15
395.0E-3,571.4E-15
400.0E-3,520.2E-15
405.0E-3,464.6E-15
410.0E-3,404.1E-15
415.0E-3,337.8E-15
420.0E-3,264.8E-15
425.0E-3,183.9E-15
430.0E-3,93.86E-15
435.0E-3,6.870E-15
440.0E-3,120.1E-15
445.0E-3,248.1E-15
450.0E-3,393.3E-15
455.0E-3,558.9E-15
460.0E-3,748.5E-15
465.0E-3,966.4E-15
470.0E-3,1.218E-12
475.0E-3,1.509E-12
480.0E-3,1.847E-12
485.0E-3,2.241E-12
490.0E-3,2.701E-12
495.0E-3,3.241E-12
500.0E-3,3.874E-12
505.0E-3,4.619E-12
510.0E-3,5.498E-12
515.0E-3,6.536E-12
520.0E-3,7.765E-12
525.0E-3,9.221E-12
530.0E-3,10.95E-12
535.0E-3,13.00E-12
540.0E-3,15.45E-12
545.0E-3,18.36E-12
550.0E-3,21.82E-12
555.0E-3,25.96E-12
560.0E-3,30.90E-12
565.0E-3,36.80E-12
570.0E-3,43.86E-12
575.0E-3,52.30E-12
580.0E-3,62.40E-12
585.0E-3,74.49E-12
590.0E-3,88.97E-12
595.0E-3,106.3E-12
600.0E-3,127.1E-12
605.0E-3,152.1E-12
610.0E-3,181.9E-12
615.0E-3,217.8E-12
620.0E-3,260.8E-12
625.0E-3,312.4E-12
630.0E-3,374.3E-12
635.0E-3,448.7E-12
640.0E-3,537.8E-12
645.0E-3,644.9E-12
650.0E-3,773.4E-12
655.0E-3,927.7E-12
660.0E-3,1.113E-9
665.0E-3,1.335E-9
670.0E-3,1.602E-9
675.0E-3,1.923E-9
680.0E-3,2.308E-9
685.0E-3,2.769E-9
690.0E-3,3.324E-9
695.0E-3,3.990E-9
700.0E-3,4.789E-9
705.0E-3,5.748E-9
710.0E-3,6.898E-9
715.0E-3,8.279E-9
720.0E-3,9.935E-9
725.0E-3,11.92E-9
730.0E-3,14.30E-9
735.0E-3,17.16E-9
740.0E-3,20.58E-9
745.0E-3,24.68E-9
750.0E-3,29.58E-9
755.0E-3,35.44E-9
760.0E-3,42.45E-9
765.0E-3,50.81E-9
770.0E-3,60.78E-9
775.0E-3,72.66E-9
780.0E-3,86.77E-9
785.0E-3,103.5E-9
790.0E-3,123.3E-9
795.0E-3,146.7E-9
800.0E-3,174.3E-9
805.0E-3,206.6E-9
810.0E-3,244.4E-9
815.0E-3,288.4E-9
820.0E-3,339.5E-9
825.0E-3,398.5E-9
830.0E-3,466.5E-9
835.0E-3,544.3E-9
840.0E-3,633.0E-9
845.0E-3,733.8E-9
850.0E-3,847.8E-9
855.0E-3,976.3E-9
860.0E-3,1.120E-6
865.0E-3,1.281E-6
870.0E-3,1.461E-6
875.0E-3,1.660E-6
880.0E-3,1.881E-6
885.0E-3,2.124E-6
890.0E-3,2.393E-6
895.0E-3,2.687E-6
900.0E-3,3.010E-6
905.0E-3,3.362E-6
910.0E-3,3.747E-6
915.0E-3,4.165E-6
920.0E-3,4.620E-6
925.0E-3,5.114E-6
930.0E-3,5.648E-6
935.0E-3,6.225E-6
940.0E-3,6.848E-6
945.0E-3,7.519E-6
950.0E-3,8.242E-6
