vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
0.000,-22.91E-6,-32.61E-6,-42.32E-6,-47.88E-6,-51.77E-6,-54.79E-6,-57.26E-6
5.000E-3,-4.992E-6,-7.768E-6,-10.96E-6,-13.02E-6,-14.59E-6,-15.88E-6,-16.99E-6
10.00E-3,13.21E-6,17.35E-6,20.59E-6,21.97E-6,22.70E-6,23.12E-6,23.35E-6
15.00E-3,31.63E-6,42.67E-6,52.28E-6,57.06E-6,60.06E-6,62.17E-6,63.73E-6
20.00E-3,50.17E-6,68.15E-6,84.09E-6,92.23E-6,97.48E-6,101.3E-6,104.1E-6
25.00E-3,68.74E-6,93.71E-6,116.0E-6,127.4E-6,134.9E-6,140.4E-6,144.6E-6
30.00E-3,87.28E-6,119.3E-6,147.9E-6,162.7E-6,172.4E-6,179.5E-6,185.0E-6
35.00E-3,105.7E-6,144.9E-6,179.8E-6,197.9E-6,209.8E-6,218.5E-6,225.4E-6
40.00E-3,123.9E-6,170.4E-6,211.6E-6,233.1E-6,247.2E-6,257.6E-6,265.7E-6
45.00E-3,141.8E-6,195.7E-6,243.4E-6,268.2E-6,284.5E-6,296.6E-6,306.0E-6
50.00E-3,159.4E-6,220.9E-6,275.1E-6,303.2E-6,321.8E-6,335.5E-6,346.2E-6
55.00E-3,176.5E-6,245.8E-6,306.7E-6,338.1E-6,359.0E-6,374.3E-6,386.4E-6
60.00E-3,193.1E-6,270.5E-6,338.1E-6,372.9E-6,396.0E-6,413.0E-6,426.4E-6
65.00E-3,209.1E-6,294.8E-6,369.3E-6,407.6E-6,432.9E-6,451.6E-6,466.3E-6
70.00E-3,224.6E-6,318.8E-6,400.3E-6,442.0E-6,469.7E-6,490.1E-6,506.1E-6
75.00E-3,239.3E-6,342.4E-6,431.1E-6,476.3E-6,506.2E-6,528.4E-6,545.8E-6
80.00E-3,253.3E-6,365.4E-6,461.6E-6,510.4E-6,542.6E-6,566.5E-6,585.3E-6
85.00E-3,266.5E-6,388.0E-6,491.8E-6,544.2E-6,578.8E-6,604.5E-6,624.6E-6
90.00E-3,278.9E-6,410.0E-6,521.7E-6,577.8E-6,614.8E-6,642.2E-6,663.8E-6
95.00E-3,290.4E-6,431.5E-6,551.3E-6,611.1E-6,650.6E-6,679.7E-6,702.8E-6
100.0E-3,301.1E-6,452.3E-6,580.5E-6,644.2E-6,686.1E-6,717.1E-6,741.5E-6
105.0E-3,311.0E-6,472.4E-6,609.4E-6,677.0E-6,721.3E-6,754.1E-6,780.0E-6
110.0E-3,320.0E-6,491.8E-6,637.9E-6,709.4E-6,756.3E-6,791.0E-6,818.3E-6
115.0E-3,328.1E-6,510.4E-6,666.0E-6,741.6E-6,791.0E-6,827.5E-6,856.4E-6
120.0E-3,335.4E-6,528.3E-6,693.7E-6,773.4E-6,825.4E-6,863.8E-6,894.2E-6
125.0E-3,342.0E-6,545.3E-6,720.9E-6,804.9E-6,859.5E-6,899.9E-6,931.8E-6
130.0E-3,347.8E-6,561.5E-6,747.7E-6,836.0E-6,893.3E-6,935.6E-6,969.0E-6
135.0E-3,353.0E-6,576.7E-6,774.1E-6,866.8E-6,926.7E-6,971.0E-6,1.006E-3
140.0E-3,357.5E-6,591.0E-6,799.9E-6,897.2E-6,959.9E-6,1.006E-3,1.043E-3
145.0E-3,361.4E-6,604.4E-6,825.2E-6,927.2E-6,992.7E-6,1.041E-3,1.079E-3
150.0E-3,364.9E-6,616.8E-6,850.0E-6,956.9E-6,1.025E-3,1.075E-3,1.115E-3
155.0E-3,367.8E-6,628.3E-6,874.3E-6,986.2E-6,1.057E-3,1.110E-3,1.151E-3
160.0E-3,370.4E-6,638.8E-6,898.0E-6,1.015E-3,1.089E-3,1.143E-3,1.186E-3
165.0E-3,372.6E-6,648.4E-6,921.2E-6,1.044E-3,1.121E-3,1.177E-3,1.222E-3
170.0E-3,374.5E-6,657.1E-6,943.7E-6,1.072E-3,1.152E-3,1.210E-3,1.256E-3
175.0E-3,376.2E-6,664.8E-6,965.6E-6,1.099E-3,1.182E-3,1.243E-3,1.291E-3
180.0E-3,377.5E-6,671.8E-6,986.9E-6,1.127E-3,1.213E-3,1.276E-3,1.325E-3
185.0E-3,378.7E-6,677.9E-6,1.007E-3,1.154E-3,1.243E-3,1.308E-3,1.359E-3
190.0E-3,379.8E-6,683.3E-6,1.027E-3,1.180E-3,1.272E-3,1.340E-3,1.393E-3
195.0E-3,380.6E-6,688.1E-6,1.047E-3,1.206E-3,1.302E-3,1.371E-3,1.426E-3
200.0E-3,381.4E-6,692.2E-6,1.065E-3,1.232E-3,1.331E-3,1.402E-3,1.459E-3
205.0E-3,382.0E-6,695.8E-6,1.083E-3,1.257E-3,1.359E-3,1.433E-3,1.491E-3
210.0E-3,382.5E-6,698.9E-6,1.099E-3,1.281E-3,1.388E-3,1.464E-3,1.523E-3
215.0E-3,383.0E-6,701.5E-6,1.115E-3,1.306E-3,1.416E-3,1.494E-3,1.555E-3
220.0E-3,383.4E-6,703.8E-6,1.130E-3,1.329E-3,1.443E-3,1.524E-3,1.587E-3
225.0E-3,383.7E-6,705.8E-6,1.145E-3,1.352E-3,1.470E-3,1.553E-3,1.618E-3
230.0E-3,384.0E-6,707.4E-6,1.158E-3,1.375E-3,1.497E-3,1.583E-3,1.649E-3
235.0E-3,384.3E-6,708.8E-6,1.170E-3,1.397E-3,1.524E-3,1.612E-3,1.680E-3
240.0E-3,384.5E-6,710.1E-6,1.182E-3,1.419E-3,1.550E-3,1.640E-3,1.710E-3
245.0E-3,384.7E-6,711.1E-6,1.192E-3,1.440E-3,1.576E-3,1.669E-3,1.740E-3
250.0E-3,384.9E-6,711.9E-6,1.202E-3,1.460E-3,1.601E-3,1.697E-3,1.770E-3
255.0E-3,385.0E-6,712.7E-6,1.210E-3,1.480E-3,1.626E-3,1.724E-3,1.800E-3
260.0E-3,385.1E-6,713.3E-6,1.218E-3,1.499E-3,1.651E-3,1.752E-3,1.829E-3
265.0E-3,385.2E-6,713.8E-6,1.225E-3,1.518E-3,1.675E-3,1.779E-3,1.858E-3
270.0E-3,385.3E-6,714.3E-6,1.231E-3,1.536E-3,1.699E-3,1.806E-3,1.887E-3
275.0E-3,385.4E-6,714.7E-6,1.237E-3,1.553E-3,1.722E-3,1.832E-3,1.915E-3
280.0E-3,385.5E-6,715.0E-6,1.242E-3,1.569E-3,1.745E-3,1.859E-3,1.943E-3
285.0E-3,385.6E-6,715.3E-6,1.246E-3,1.584E-3,1.768E-3,1.885E-3,1.971E-3
290.0E-3,385.6E-6,715.5E-6,1.249E-3,1.599E-3,1.790E-3,1.910E-3,1.999E-3
295.0E-3,385.7E-6,715.8E-6,1.252E-3,1.613E-3,1.812E-3,1.935E-3,2.026E-3
300.0E-3,385.7E-6,715.9E-6,1.255E-3,1.626E-3,1.833E-3,1.960E-3,2.053E-3
305.0E-3,385.8E-6,716.1E-6,1.257E-3,1.638E-3,1.853E-3,1.985E-3,2.080E-3
310.0E-3,385.8E-6,716.2E-6,1.259E-3,1.649E-3,1.873E-3,2.009E-3,2.107E-3
315.0E-3,385.8E-6,716.4E-6,1.261E-3,1.659E-3,1.893E-3,2.033E-3,2.133E-3
320.0E-3,385.9E-6,716.5E-6,1.262E-3,1.668E-3,1.911E-3,2.057E-3,2.160E-3
325.0E-3,385.9E-6,716.5E-6,1.263E-3,1.677E-3,1.929E-3,2.080E-3,2.185E-3
330.0E-3,385.9E-6,716.6E-6,1.264E-3,1.684E-3,1.947E-3,2.103E-3,2.211E-3
335.0E-3,386.0E-6,716.7E-6,1.265E-3,1.691E-3,1.964E-3,2.126E-3,2.236E-3
340.0E-3,386.0E-6,716.8E-6,1.266E-3,1.697E-3,1.980E-3,2.148E-3,2.261E-3
