vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
0.000,-22.90E-6,-32.61E-6,-42.32E-6,-47.87E-6,-51.77E-6,-54.78E-6,-57.25E-6
5.000E-3,-4.992E-6,-7.767E-6,-10.96E-6,-13.02E-6,-14.58E-6,-15.87E-6,-16.98E-6
10.00E-3,13.21E-6,17.35E-6,20.59E-6,21.97E-6,22.70E-6,23.12E-6,23.35E-6
15.00E-3,31.63E-6,42.67E-6,52.28E-6,57.06E-6,60.06E-6,62.16E-6,63.72E-6
20.00E-3,50.16E-6,68.14E-6,84.07E-6,92.21E-6,97.47E-6,101.2E-6,104.1E-6
25.00E-3,68.73E-6,93.69E-6,115.9E-6,127.4E-6,134.9E-6,140.3E-6,144.5E-6
30.00E-3,87.25E-6,119.3E-6,147.8E-6,162.6E-6,172.3E-6,179.4E-6,184.9E-6
35.00E-3,105.6E-6,144.8E-6,179.7E-6,197.8E-6,209.7E-6,218.5E-6,225.3E-6
40.00E-3,123.8E-6,170.3E-6,211.5E-6,233.0E-6,247.1E-6,257.5E-6,265.6E-6
45.00E-3,141.7E-6,195.6E-6,243.3E-6,268.0E-6,284.4E-6,296.4E-6,305.9E-6
50.00E-3,159.2E-6,220.7E-6,274.9E-6,303.0E-6,321.6E-6,335.3E-6,346.0E-6
55.00E-3,176.3E-6,245.6E-6,306.4E-6,337.9E-6,358.7E-6,374.1E-6,386.1E-6
60.00E-3,192.9E-6,270.2E-6,337.8E-6,372.6E-6,395.7E-6,412.7E-6,426.1E-6
65.00E-3,208.9E-6,294.5E-6,368.9E-6,407.2E-6,432.5E-6,451.2E-6,465.9E-6
70.00E-3,224.2E-6,318.4E-6,399.8E-6,441.5E-6,469.2E-6,489.6E-6,505.7E-6
75.00E-3,238.9E-6,341.8E-6,430.5E-6,475.7E-6,505.6E-6,527.8E-6,545.2E-6
80.00E-3,252.8E-6,364.8E-6,460.8E-6,509.6E-6,541.9E-6,565.8E-6,584.6E-6
85.00E-3,265.9E-6,387.2E-6,490.9E-6,543.3E-6,578.0E-6,603.6E-6,623.8E-6
90.00E-3,278.2E-6,409.1E-6,520.7E-6,576.8E-6,613.8E-6,641.2E-6,662.8E-6
95.00E-3,289.7E-6,430.3E-6,550.1E-6,609.9E-6,649.3E-6,678.5E-6,701.5E-6
100.0E-3,300.3E-6,450.9E-6,579.1E-6,642.7E-6,684.6E-6,715.6E-6,740.1E-6
105.0E-3,310.0E-6,470.8E-6,607.7E-6,675.3E-6,719.6E-6,752.5E-6,778.4E-6
110.0E-3,318.9E-6,490.0E-6,636.0E-6,707.5E-6,754.4E-6,789.1E-6,816.5E-6
115.0E-3,326.9E-6,508.3E-6,663.8E-6,739.4E-6,788.8E-6,825.4E-6,854.3E-6
120.0E-3,334.1E-6,525.9E-6,691.1E-6,770.9E-6,822.9E-6,861.4E-6,891.8E-6
125.0E-3,340.5E-6,542.6E-6,718.0E-6,802.0E-6,856.7E-6,897.1E-6,929.0E-6
130.0E-3,346.3E-6,558.4E-6,744.4E-6,832.8E-6,890.1E-6,932.5E-6,965.9E-6
135.0E-3,351.3E-6,573.3E-6,770.4E-6,863.2E-6,923.2E-6,967.5E-6,1.003E-3
140.0E-3,355.7E-6,587.3E-6,795.7E-6,893.2E-6,955.9E-6,1.002E-3,1.039E-3
145.0E-3,359.5E-6,600.3E-6,820.6E-6,922.8E-6,988.3E-6,1.037E-3,1.075E-3
150.0E-3,362.9E-6,612.3E-6,844.9E-6,951.9E-6,1.020E-3,1.071E-3,1.111E-3
155.0E-3,365.7E-6,623.4E-6,868.6E-6,980.7E-6,1.052E-3,1.104E-3,1.146E-3
160.0E-3,368.2E-6,633.5E-6,891.7E-6,1.009E-3,1.083E-3,1.138E-3,1.181E-3
165.0E-3,370.3E-6,642.7E-6,914.2E-6,1.037E-3,1.114E-3,1.171E-3,1.215E-3
170.0E-3,372.1E-6,650.9E-6,936.0E-6,1.064E-3,1.145E-3,1.203E-3,1.250E-3
175.0E-3,373.7E-6,658.3E-6,957.2E-6,1.091E-3,1.175E-3,1.235E-3,1.284E-3
180.0E-3,375.0E-6,664.8E-6,977.7E-6,1.118E-3,1.204E-3,1.267E-3,1.317E-3
185.0E-3,376.1E-6,670.5E-6,997.4E-6,1.144E-3,1.234E-3,1.299E-3,1.350E-3
190.0E-3,377.0E-6,675.6E-6,1.016E-3,1.170E-3,1.263E-3,1.330E-3,1.383E-3
195.0E-3,377.8E-6,679.9E-6,1.035E-3,1.195E-3,1.291E-3,1.361E-3,1.415E-3
200.0E-3,378.5E-6,683.7E-6,1.052E-3,1.219E-3,1.319E-3,1.391E-3,1.448E-3
205.0E-3,379.0E-6,686.9E-6,1.069E-3,1.244E-3,1.347E-3,1.421E-3,1.479E-3
210.0E-3,379.5E-6,689.7E-6,1.084E-3,1.267E-3,1.374E-3,1.451E-3,1.511E-3
215.0E-3,379.9E-6,692.0E-6,1.099E-3,1.290E-3,1.401E-3,1.480E-3,1.542E-3
220.0E-3,380.2E-6,694.0E-6,1.113E-3,1.313E-3,1.428E-3,1.509E-3,1.572E-3
225.0E-3,380.5E-6,695.6E-6,1.126E-3,1.335E-3,1.454E-3,1.537E-3,1.602E-3
230.0E-3,380.7E-6,697.0E-6,1.138E-3,1.356E-3,1.479E-3,1.565E-3,1.632E-3
235.0E-3,380.9E-6,698.1E-6,1.149E-3,1.377E-3,1.505E-3,1.593E-3,1.662E-3
240.0E-3,381.0E-6,699.1E-6,1.159E-3,1.397E-3,1.530E-3,1.621E-3,1.691E-3
245.0E-3,381.1E-6,699.8E-6,1.168E-3,1.416E-3,1.554E-3,1.648E-3,1.720E-3
250.0E-3,381.2E-6,700.4E-6,1.176E-3,1.435E-3,1.578E-3,1.674E-3,1.749E-3
255.0E-3,381.3E-6,700.9E-6,1.183E-3,1.453E-3,1.601E-3,1.701E-3,1.777E-3
260.0E-3,381.4E-6,701.3E-6,1.190E-3,1.470E-3,1.624E-3,1.727E-3,1.805E-3
265.0E-3,381.4E-6,701.6E-6,1.195E-3,1.487E-3,1.647E-3,1.752E-3,1.832E-3
270.0E-3,381.4E-6,701.8E-6,1.200E-3,1.502E-3,1.669E-3,1.778E-3,1.859E-3
275.0E-3,381.4E-6,701.9E-6,1.205E-3,1.517E-3,1.690E-3,1.802E-3,1.886E-3
280.0E-3,381.4E-6,702.0E-6,1.208E-3,1.531E-3,1.711E-3,1.827E-3,1.913E-3
285.0E-3,381.4E-6,702.1E-6,1.211E-3,1.544E-3,1.732E-3,1.851E-3,1.939E-3
290.0E-3,381.4E-6,702.1E-6,1.214E-3,1.556E-3,1.751E-3,1.875E-3,1.965E-3
295.0E-3,381.4E-6,702.1E-6,1.216E-3,1.568E-3,1.770E-3,1.898E-3,1.991E-3
300.0E-3,381.4E-6,702.0E-6,1.217E-3,1.578E-3,1.789E-3,1.921E-3,2.016E-3
305.0E-3,381.3E-6,702.0E-6,1.219E-3,1.587E-3,1.807E-3,1.943E-3,2.041E-3
310.0E-3,381.3E-6,701.9E-6,1.220E-3,1.596E-3,1.824E-3,1.965E-3,2.065E-3
315.0E-3,381.3E-6,701.8E-6,1.220E-3,1.603E-3,1.840E-3,1.986E-3,2.089E-3
320.0E-3,381.2E-6,701.6E-6,1.221E-3,1.610E-3,1.856E-3,2.007E-3,2.113E-3
325.0E-3,381.2E-6,701.5E-6,1.221E-3,1.616E-3,1.871E-3,2.027E-3,2.137E-3
330.0E-3,381.2E-6,701.4E-6,1.222E-3,1.621E-3,1.885E-3,2.047E-3,2.160E-3
335.0E-3,381.1E-6,701.2E-6,1.222E-3,1.625E-3,1.898E-3,2.067E-3,2.182E-3
340.0E-3,381.1E-6,701.1E-6,1.222E-3,1.629E-3,1.910E-3,2.085E-3,2.204E-3
345.0E-3,381.0E-6,700.9E-6,1.222E-3,1.632E-3,1.921E-3,2.103E-3,2.226E-3
350.0E-3,381.0E-6,700.7E-6,1.222E-3,1.634E-3,1.932E-3,2.121E-3,2.248E-3
355.0E-3,380.9E-6,700.5E-6,1.221E-3,1.636E-3,1.941E-3,2.138E-3,2.269E-3
360.0E-3,380.9E-6,700.4E-6,1.221E-3,1.638E-3,1.950E-3,2.154E-3,2.289E-3
365.0E-3,380.8E-6,700.2E-6,1.221E-3,1.639E-3,1.958E-3,2.169E-3,2.309E-3
370.0E-3,380.7E-6,700.0E-6,1.220E-3,1.640E-3,1.965E-3,2.183E-3,2.328E-3
375.0E-3,380.7E-6,699.8E-6,1.220E-3,1.640E-3,1.971E-3,2.197E-3,2.347E-3
380.0E-3,380.6E-6,699.6E-6,1.219E-3,1.641E-3,1.976E-3,2.210E-3,2.365E-3
385.0E-3,380.6E-6,699.4E-6,1.219E-3,1.641E-3,1.980E-3,2.222E-3,2.383E-3
